PID,Group,QID,Rating,Adverb,Mente,Adverb_Class,Structure,Proficiency,Dominance_Score
101.0,NS,AJT0_AA-_aqui,4,aqui,No,Place,AdvSVO,46,
101.0,NS,AJT0_BA-_aqui,1,aqui,No,Place,SAdvVO,46,
101.0,NS,AJT0_CA-_aqui,2,aqui,No,Place,SVAdvO,46,
101.0,NS,AJT0_DA-_aqui,2,aqui,No,Place,SVOAdv,46,
101.0,NS,AJT0_AA-_afuera,4,afuera,No,Place,AdvSVO,46,
101.0,NS,AJT0_BA-_afuera,3,afuera,No,Place,SAdvVO,46,
101.0,NS,AJT0_CA-_afuera,3,afuera,No,Place,SVAdvO,46,
101.0,NS,AJT0_DA-_afuera,4,afuera,No,Place,SVOAdv,46,
101.0,NS,AJT0_AA-_cerca,2,cerca,No,Place,AdvSVO,46,
101.0,NS,AJT0_BA-_cerca,1,cerca,No,Place,SAdvVO,46,
101.0,NS,AJT0_CA-_cerca,2,cerca,No,Place,SVAdvO,46,
101.0,NS,AJT0_DA-_cerca,4,cerca,No,Place,SVOAdv,46,
101.0,NS,AJT0_AA-_lejos,4,lejos,No,Place,AdvSVO,46,
101.0,NS,AJT0_BA-_lejos,3,lejos,No,Place,SAdvVO,46,
101.0,NS,AJT0_CA-_lejos,3,lejos,No,Place,SVAdvO,46,
101.0,NS,AJT0_DA-_lejos,2,lejos,No,Place,SVOAdv,46,
101.0,NS,AJT0_AB-_casi,4,casi,No,Extent,AdvSVO,46,
101.0,NS,AJT0_BB-_casi,4,casi,No,Extent,SAdvVO,46,
101.0,NS,AJT0_CB-_casi,2,casi,No,Extent,SVAdvO,46,
101.0,NS,AJT0_DB-_casi,1,casi,No,Extent,SVOAdv,46,
101.0,NS,AJT0_AB+_aproximadamente,2,aproximadamente,Yes,Extent,AdvSVO,46,
101.0,NS,AJT0_BB+_aproximadamente,3,aproximadamente,Yes,Extent,SAdvVO,46,
101.0,NS,AJT0_CB+_aproximadamente,4,aproximadamente,Yes,Extent,SVAdvO,46,
101.0,NS,AJT0_DB+_aproximadamente,3,aproximadamente,Yes,Extent,SVOAdv,46,
101.0,NS,AJT0_AB-_apenas,4,apenas,No,Extent,AdvSVO,46,
101.0,NS,AJT0_BB-_apenas,4,apenas,No,Extent,SAdvVO,46,
101.0,NS,AJT0_CB-_apenas,2,apenas,No,Extent,SVAdvO,46,
101.0,NS,AJT0_DB-_apenas,3,apenas,No,Extent,SVOAdv,46,
101.0,NS,AJT0_AB+_solamente,3,solamente,Yes,Extent,AdvSVO,46,
101.0,NS,AJT0_BB+_solamente,4,solamente,Yes,Extent,SAdvVO,46,
101.0,NS,AJT0_CB+_solamente,4,solamente,Yes,Extent,SVAdvO,46,
101.0,NS,AJT0_DB+_solamente,4,solamente,Yes,Extent,SVOAdv,46,
